genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
OR264643.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264643.1
OR264644.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264644.1
OR264645.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264645.1
OR264646.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264646.1
OR264647.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264647.1
PQ008648.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ008648.1
PQ461653.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ461653.1
PV426612.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PV426612.1
PQ551086.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ551086.1
PQ551087.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ551087.1
PQ551088.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ551088.1
PP431249.1	A.1.NmC4	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_5_A.1.NmC4_PP431249.1
