--- Analyzing Designations by Continent (Percentages) ---

  Designation: A.D.5.NmC1, Percentage: 6.67%

Country:  Hong Kong (Total observed designations in this group: 20)
  Designation: A.3.1, Percentage: 60.00%
  Designation: A.3.1.1, Percentage: 30.00%
  Designation: A.D.3.12, Percentage: 10.00%

Country:  Hungary (Total observed designations in this group: 44)
  Designation: A.D.2, Percentage: 34.09%
  Designation: A.D.4.NmC3, Percentage: 34.09%
  Designation: A.D.1, Percentage: 11.36%
  Designation: A.D.4.NmC2, Percentage: 9.09%
  Designation: A.D.2.NmC1, Percentage: 4.55%
  Designation: A.D.3.NmC1, Percentage: 4.55%
  Designation: A.D.4.NmC1, Percentage: 2.27%

Country:  India (Total observed designations in this group: 316)
  Designation: A.D.2.2.NmC1, Percentage: 24.37%
  Designation: A.D.5.NmC1, Percentage: 17.72%
  Designation: A.D, Percentage: 9.81%
  Designation: A.3.1, Percentage: 8.86%
  Designation: A.D.3.6, Percentage: 7.91%
  Designation: A.3.1.1, Percentage: 6.65%
  Designation: A.D.2.2, Percentage: 6.01%
  Designation: A.D.4.NmC3, Percentage: 6.01%
  Designation: A.D.2.2.1, Percentage: 3.48%
  Designation: A.D.NmC1, Percentage: 3.16%
  Designation: A.D.4.NmC1, Percentage: 2.22%
  Designation: A.D.NmC2, Percentage: 1.58%
  Designation: A.D.4.NmC2, Percentage: 0.95%
  Designation: A.D.2, Percentage: 0.32%
  Designation: A.D.3.NmC2, Percentage: 0.32%
  Designation: A.D.5.1, Percentage: 0.32%
  Designation: A.D.5.3, Percentage: 0.32%

Country:  Indonesia (Total observed designations in this group: 7)
  Designation: A.D.2.2, Percentage: 85.71%
  Designation: A.D.3.NmC2, Percentage: 14.29%

Country:  Iran (Total observed designations in this group: 148)
  Designation: A.3.1, Percentage: 25.00%
  Designation: A.D, Percentage: 24.32%
  Designation: A.D.2, Percentage: 15.54%
  Designation: A.D.NmC2, Percentage: 11.49%
  Designation: A.D.2.2.NmC1, Percentage: 6.76%
  Designation: A.D.5, Percentage: 6.76%
  Designation: A.D.2.NmC2, Percentage: 2.70%
  Designation: A.D.3.6, Percentage: 2.03%
  Designation: A.D.4.NmC3, Percentage: 2.03%
  Designation: A.D.2.2, Percentage: 1.35%
  Designation: A.D.NmC1, Percentage: 1.35%
  Designation: A.3.1.NmC2, Percentage: 0.68%

Country:  Iraq (Total observed designations in this group: 6)
  Designation: A.D.2.2, Percentage: 33.33%
  Designation: A.3, Percentage: 16.67%
  Designation: A.D.4, Percentage: 16.67%
  Designation: A.D.4.NmC2, Percentage: 16.67%
  Designation: A.D.4.NmC3, Percentage: 16.67%

Country:  Ireland (Total observed designations in this group: 261)
  Designation: A.D.4.NmC3, Percentage: 33.72%
  Designation: A.D.4.NmC2, Percentage: 14.56%
  Designation: A.D.5.2, Percentage: 11.11%
  Designation: A.D.1.4, Percentage: 8.43%
  Designation: A.D.1.9, Percentage: 5.36%
  Designation: A.D.1.6, Percentage: 4.21%
  Designation: A.D.1.5, Percentage: 3.45%
  Designation: A.D.1.11, Percentage: 3.07%
  Designation: A.D.4.NmC1, Percentage: 3.07%
  Designation: A.D.3.NmC1, Percentage: 2.30%
  Designation: A.D.3.12, Percentage: 1.92%
  Designation: A.D.1.2, Percentage: 1.53%
  Designation: A.D.3.1, Percentage: 1.53%
  Designation: A.D.1.7, Percentage: 1.15%
  Designation: A.D.3.3, Percentage: 1.15%
  Designation: A.D.5.1, Percentage: 1.15%
  Designation: A.D.3.4, Percentage: 0.77%
  Designation: A.D.3.7, Percentage: 0.77%
  Designation: A.D.1.10, Percentage: 0.38%
  Designation: A.D.4, Percentage: 0.38%

Country:  Israel (Total observed designations in this group: 2)
  Designation: A.3.1.1, Percentage: 100.00%

Country:  Italy (Total observed designations in this group: 391)
  Designation: A.D, Percentage: 32.74%
  Designation: A.3.1.1, Percentage: 18.41%
  Designation: A.3.1, Percentage: 14.07%
  Designation: A.D.NmC2, Percentage: 13.04%
  Designation: A.D.5, Percentage: 7.93%
  Designation: A.D.3.6, Percentage: 4.60%
  Designation: A.D.NmC1, Percentage: 1.53%
  Designation: A.D.2, Percentage: 1.28%
  Designation: A.D.4.NmC3, Percentage: 1.02%
  Designation: A.D.5.1, Percentage: 1.02%
  Designation: A.D.1.2, Percentage: 0.77%
  Designation: A.D.2.2.NmC1, Percentage: 0.77%
  Designation: A.3.1.NmC1, Percentage: 0.51%
  Designation: A.D.1, Percentage: 0.51%
  Designation: A.D.3.3, Percentage: 0.51%
  Designation: A.D.3.NmC1, Percentage: 0.51%
  Designation: A.D.2.NmC1, Percentage: 0.26%
  Designation: A.D.3.NmC2, Percentage: 0.26%
  Designation: A.D.4.NmC2, Percentage: 0.26%

Country:  Japan (Total observed designations in this group: 1019)
  Designation: A.D, Percentage: 30.72%
