--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.1.13.NmC3, Percentage: 3.92%
  Designation: F.1.NmC2, Percentage: 3.92%
  Designation: F.2, Percentage: 2.45%
  Designation: C.1.1, Percentage: 1.96%
  Designation: B.1.NmC4, Percentage: 1.47%
  Designation: C.1.NmC1, Percentage: 1.47%
  Designation: A.1, Percentage: 0.98%
  Designation: B.1.17.NmC5, Percentage: 0.98%
  Designation: B.1.NmC7, Percentage: 0.98%
  Designation: A.1.NmC2, Percentage: 0.49%
  Designation: A.2.3, Percentage: 0.49%
  Designation: B.1.10, Percentage: 0.49%
  Designation: B.1.12, Percentage: 0.49%
  Designation: B.1.3, Percentage: 0.49%
  Designation: B.1.NmC1, Percentage: 0.49%
  Designation: B.1.NmC2, Percentage: 0.49%
  Designation: D.1, Percentage: 0.49%

Country:  Austria (Total observed designations in this group: 13)
  Designation: B.1.13.NmC1, Percentage: 30.77%
  Designation: B.1.13.NmC2, Percentage: 23.08%
  Designation: B.1.NmC2, Percentage: 15.38%
  Designation: A.2, Percentage: 7.69%
  Designation: A.2.1, Percentage: 7.69%
  Designation: B.1.1.NmC1, Percentage: 7.69%
  Designation: B.1.13.NmC3, Percentage: 7.69%

Country:  Belgium (Total observed designations in this group: 274)
  Designation: B.1.NmC1, Percentage: 42.70%
  Designation: B.1.NmC4, Percentage: 23.72%
  Designation: B.1.NmC9, Percentage: 9.85%
  Designation: B.1, Percentage: 4.01%
  Designation: B.1.13, Percentage: 3.65%
  Designation: B.1.13.NmC2, Percentage: 2.92%
  Designation: B.1.13.NmC1, Percentage: 2.19%
  Designation: B.1.13.NmC3, Percentage: 1.82%
  Designation: B.1.3.NmC2, Percentage: 1.82%
  Designation: B.1.17.NmC1, Percentage: 1.46%
  Designation: B.1.NmC7, Percentage: 1.09%
  Designation: B.1.15, Percentage: 0.73%
  Designation: B.1.3, Percentage: 0.73%
  Designation: B.1.NmC5, Percentage: 0.73%
  Designation: A, Percentage: 0.36%
  Designation: B.1.1, Percentage: 0.36%
  Designation: B.1.11, Percentage: 0.36%
  Designation: B.1.12.NmC2, Percentage: 0.36%
  Designation: B.1.17.NmC3, Percentage: 0.36%
  Designation: B.1.2.NmC5, Percentage: 0.36%
  Designation: B.1.6, Percentage: 0.36%

Country:  Benin (Total observed designations in this group: 3)
  Designation: A.2, Percentage: 66.67%
  Designation: A, Percentage: 33.33%

Country:  Brazil (Total observed designations in this group: 2)
  Designation: A.1.NmC1, Percentage: 50.00%
  Designation: B.1.12, Percentage: 50.00%

Country:  Cambodia (Total observed designations in this group: 20)
  Designation: C.1, Percentage: 80.00%
  Designation: A.1.NmC3, Percentage: 15.00%
  Designation: B.1.3, Percentage: 5.00%

Country:  Canada (Total observed designations in this group: 232)
  Designation: B.1.NmC7, Percentage: 18.53%
  Designation: A.1.NmC2, Percentage: 13.79%
