--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.4.1.2, Percentage: 7.59%
  Designation: B.D.3, Percentage: 5.70%
  Designation: B.D.E.4, Percentage: 3.80%
  Designation: B.D.1.1, Percentage: 0.63%

Country:  Portugal (Total observed designations in this group: 121)
  Designation: B.D.1, Percentage: 100.00%

Country:  Russia (Total observed designations in this group: 55)
  Designation: B.D.E.4, Percentage: 54.55%
  Designation: B.D.4.1.1, Percentage: 38.18%
  Designation: B.D.1, Percentage: 3.64%
  Designation: B.D.E.5, Percentage: 3.64%

Country:  Saudi Arabia (Total observed designations in this group: 40)
  Designation: B.D.1, Percentage: 60.00%
  Designation: B.D.E.3, Percentage: 40.00%

Country:  Senegal (Total observed designations in this group: 54)
  Designation: B.D.1, Percentage: 100.00%

Country:  Slovenia (Total observed designations in this group: 92)
  Designation: B.D.1, Percentage: 100.00%

Country:  South Africa (Total observed designations in this group: 402)
  Designation: B.D.4.1.1, Percentage: 29.85%
  Designation: B.D.4.1.3, Percentage: 20.65%
  Designation: B.D.1, Percentage: 18.16%
  Designation: B.D.E.4, Percentage: 16.67%
  Designation: B.D.3, Percentage: 6.47%
  Designation: B.D.4.1.2, Percentage: 3.98%
  Designation: B.D.E.3, Percentage: 2.24%
  Designation: B.D, Percentage: 1.49%
  Designation: B.D.E.1, Percentage: 0.25%
  Designation: B.D.E.5, Percentage: 0.25%

Country:  South Korea (Total observed designations in this group: 122)
  Designation: B.D.1, Percentage: 61.48%
  Designation: B.D.4.1.1, Percentage: 15.57%
  Designation: B.D.E.4, Percentage: 14.75%
  Designation: B.D, Percentage: 1.64%
  Designation: B.D.3, Percentage: 1.64%
  Designation: B.D.4.1.2, Percentage: 1.64%
  Designation: B.D.E.3, Percentage: 1.64%
  Designation: B.D.1.1, Percentage: 0.82%
  Designation: B.D.E.1, Percentage: 0.82%

Country:  Spain (Total observed designations in this group: 1282)
  Designation: B.D.E.1, Percentage: 32.37%
  Designation: B.D.1, Percentage: 21.06%
  Designation: B.D.E.4, Percentage: 9.98%
  Designation: B.D.4.1.2, Percentage: 6.55%
  Designation: B.D.E.1.2, Percentage: 6.01%
  Designation: B.D.E.1.8, Percentage: 5.85%
  Designation: B.D.4.1.1, Percentage: 5.46%
  Designation: B.D.3, Percentage: 3.98%
  Designation: B.D, Percentage: 3.28%
  Designation: B.D.E.1.1, Percentage: 1.72%
  Designation: B.D.E.1.7, Percentage: 1.56%
  Designation: B.D.E.7, Percentage: 1.17%
  Designation: B.D.4.1.3, Percentage: 0.47%
  Designation: B.D.E.3, Percentage: 0.39%
  Designation: B.D.E.5, Percentage: 0.08%
  Designation: B.D.E.6, Percentage: 0.08%

Country:  Sri Lanka (Total observed designations in this group: 2)
  Designation: B.D.4.1.1, Percentage: 100.00%

Country:  Switzerland (Total observed designations in this group: 7)
  Designation: B.D.E.1, Percentage: 71.43%
  Designation: B.D.E.4, Percentage: 28.57%

Country:  Taiwan (Total observed designations in this group: 290)
  Designation: B.D, Percentage: 32.07%
  Designation: B.D.3, Percentage: 25.86%
  Designation: B.D.1, Percentage: 13.45%
  Designation: B.D.4.1.1, Percentage: 13.45%
  Designation: B.D.E.3, Percentage: 11.38%
  Designation: B.D.4.1.3, Percentage: 2.07%
  Designation: B.D.E.4, Percentage: 1.72%

Country:  Tanzania (Total observed designations in this group: 1)
  Designation: B.D.1, Percentage: 100.00%

Country:  Thailand (Total observed designations in this group: 375)
  Designation: B.D.1, Percentage: 40.80%
  Designation: B.D, Percentage: 27.20%
  Designation: B.D.3, Percentage: 15.20%
  Designation: B.D.E.3, Percentage: 8.53%
  Designation: B.D.4.1.3, Percentage: 4.00%
  Designation: B.D.E.1, Percentage: 1.33%
  Designation: B.3, Percentage: 1.07%
  Designation: B.D.E.1.2, Percentage: 1.07%
  Designation: B.D.1.1, Percentage: 0.27%
  Designation: B.D.E.4, Percentage: 0.27%
  Designation: B.D.E.7, Percentage: 0.27%

Country:  Tunisia (Total observed designations in this group: 4)
  Designation: B.D.1, Percentage: 100.00%

Country:  Turkey (Total observed designations in this group: 92)
  Designation: B.D.1, Percentage: 82.61%
  Designation: B.D, Percentage: 11.96%
  Designation: B.D.1.1, Percentage: 5.43%

Country:  USA (Total observed designations in this group: 3112)
  Designation: B.D.4.1.1, Percentage: 42.54%
  Designation: B.D.4.1.3, Percentage: 22.85%
  Designation: B.D.E.1, Percentage: 15.33%
  Designation: B.D.4.1.2, Percentage: 6.56%
  Designation: B.D.E.4, Percentage: 5.78%
  Designation: B.D.1, Percentage: 3.60%
  Designation: B.D.E.1.2, Percentage: 1.61%
  Designation: B.D.E.5, Percentage: 0.90%
  Designation: B.D.E.6, Percentage: 0.26%
  Designation: B.D.E.1.7, Percentage: 0.22%
  Designation: B.D.E.7, Percentage: 0.13%
  Designation: B.D, Percentage: 0.10%
  Designation: B.D.3, Percentage: 0.06%
  Designation: B.D.E.1.1, Percentage: 0.06%

Country:  Uganda (Total observed designations in this group: 13)
  Designation: B.D.4.1.2, Percentage: 84.62%
  Designation: B.D.E.5, Percentage: 15.38%

Country:  United Kingdom (Total observed designations in this group: 204)
  Designation: B.D.E.4, Percentage: 54.90%
  Designation: B.D.4.1.2, Percentage: 15.20%
  Designation: B.D.E.1, Percentage: 9.31%
  Designation: B.D.4.1.1, Percentage: 8.82%
  Designation: B.D.1, Percentage: 7.35%
  Designation: B.D.E.5, Percentage: 3.43%
  Designation: B.D.4.1.3, Percentage: 0.49%
  Designation: B.D.E.1.2, Percentage: 0.49%

Country:  Uruguay (Total observed designations in this group: 4)
  Designation: B.D.1, Percentage: 100.00%

Country:  Viet Nam (Total observed designations in this group: 23)
  Designation: B.D.1, Percentage: 65.22%
  Designation: B.D.4.1.2, Percentage: 34.78%

Country:  Zambia (Total observed designations in this group: 61)
  Designation: B.D.1, Percentage: 96.72%
  Designation: B.D, Percentage: 3.28%

Country:  nan (Total observed designations in this group: 7)
  Designation: B.D.E.4, Percentage: 71.43%
  Designation: B.D.E.5, Percentage: 28.57%
