--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.4.NmC1, Percentage: 0.09%
  Designation: B.D.E.1.2, Percentage: 0.09%

Country:  Croatia (Total observed designations in this group: 206)
  Designation: B.D.1.NmC2, Percentage: 22.33%
  Designation: B.D.2.NmC1, Percentage: 20.39%
  Designation: B.D.1.NmC3, Percentage: 15.53%
  Designation: B.D.4.NmC4, Percentage: 14.08%
  Designation: B.D.4.NmC1, Percentage: 10.19%
  Designation: B.D.1.NmC1, Percentage: 7.28%
  Designation: B.D.4, Percentage: 4.37%
  Designation: B.D.E.2, Percentage: 3.40%
  Designation: B.D.4.NmC3, Percentage: 1.46%
  Designation: B.D.2, Percentage: 0.49%
  Designation: B.D.4.1.NmC1, Percentage: 0.49%

Country:  Cuba (Total observed designations in this group: 66)
  Designation: B.D.3.NmC1, Percentage: 51.52%
  Designation: B.D.4.NmC2, Percentage: 36.36%
  Designation: B.D.1, Percentage: 10.61%
  Designation: B.D.4, Percentage: 1.52%

Country:  Finland (Total observed designations in this group: 120)
  Designation: B.D.E.4, Percentage: 46.67%
  Designation: B.D.4.1.1.NmC1, Percentage: 25.00%
  Designation: B.D.4.1.1, Percentage: 20.83%
  Designation: B.D.4.1.2, Percentage: 2.50%
  Designation: B.D.4.1.1.NmC2, Percentage: 1.67%
  Designation: B.D.4.1.3, Percentage: 1.67%
  Designation: B.D.4.1.3.NmC1, Percentage: 1.67%

Country:  France (Total observed designations in this group: 161)
  Designation: B.D.E.1, Percentage: 26.71%
  Designation: B.D.4.NmC1, Percentage: 13.66%
  Designation: B.D.4.1.3.NmC1, Percentage: 9.94%
  Designation: B.D.4.1.1.NmC1, Percentage: 8.07%
  Designation: B.D.E.4, Percentage: 7.45%
  Designation: B.D.4.1.2, Percentage: 6.83%
  Designation: B.D.E.2, Percentage: 6.21%
  Designation: B.D.E.1.2, Percentage: 3.73%
  Designation: B.D.2, Percentage: 3.11%
  Designation: B.D.1.1, Percentage: 2.48%
  Designation: B.D.4.NmC3, Percentage: 2.48%
  Designation: B.D.4.NmC2, Percentage: 1.86%
  Designation: B.D.4, Percentage: 1.24%
  Designation: B.D.4.1.1.NmC2, Percentage: 1.24%
  Designation: B.D.4.NmC4, Percentage: 1.24%
  Designation: B.D.E.5, Percentage: 1.24%
  Designation: B.D.1, Percentage: 0.62%
  Designation: B.D.2.NmC3, Percentage: 0.62%
  Designation: B.D.4.1.NmC1, Percentage: 0.62%
  Designation: B.D.E.1.8, Percentage: 0.62%

Country:  Gabon (Total observed designations in this group: 2)
  Designation: B.D.2.NmC1, Percentage: 50.00%
  Designation: B.D.4, Percentage: 50.00%

Country:  Gambia (Total observed designations in this group: 97)
  Designation: B.D.NmC4, Percentage: 86.60%
  Designation: B.D.E.3.NmC3, Percentage: 5.15%
  Designation: B.D.4.1.3.NmC1, Percentage: 4.12%
  Designation: B.D, Percentage: 1.03%
  Designation: B.D.4, Percentage: 1.03%
  Designation: B.D.4.NmC2, Percentage: 1.03%
  Designation: B.D.E.3.NmC1, Percentage: 1.03%

Country:  Germany (Total observed designations in this group: 974)
  Designation: B.D.4, Percentage: 11.50%
  Designation: B.D.2.NmC1, Percentage: 11.09%
  Designation: B.D.2.NmC3, Percentage: 8.73%
  Designation: B.D.E.3.NmC1, Percentage: 8.21%
  Designation: B.D.E.3.NmC2, Percentage: 8.11%
  Designation: B.D.4.1.1.NmC1, Percentage: 7.19%
  Designation: B.D.E.4, Percentage: 6.57%
  Designation: B.D.4.NmC1, Percentage: 5.65%
  Designation: B.D.4.NmC4, Percentage: 5.34%
  Designation: B.D.4.1.1.NmC3, Percentage: 4.72%
  Designation: B.D.4.NmC2, Percentage: 3.59%
  Designation: B.D.E.1, Percentage: 3.59%
  Designation: B.D.4.1.2, Percentage: 3.39%
  Designation: B.D.2, Percentage: 1.85%
  Designation: B.D.E.2, Percentage: 1.54%
  Designation: B.D.E.3, Percentage: 1.23%
  Designation: B.D.E.3.NmC3, Percentage: 1.23%
  Designation: B.D.4.1, Percentage: 1.13%
  Designation: B.D.1.1, Percentage: 1.03%
  Designation: B.D.4.NmC3, Percentage: 0.92%
  Designation: B.D.4.1.NmC1, Percentage: 0.72%
  Designation: B.D.E.1.2, Percentage: 0.72%
  Designation: B.D.E.5, Percentage: 0.62%
  Designation: B.D.1, Percentage: 0.51%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.31%
  Designation: B.D.4.1.3.NmC1, Percentage: 0.31%
  Designation: B.D.3.NmC1, Percentage: 0.10%
  Designation: B.D.E.1.7, Percentage: 0.10%

Country:  Ghana (Total observed designations in this group: 57)
  Designation: B.D.4.NmC1, Percentage: 64.91%
  Designation: B.D.4.NmC4, Percentage: 14.04%
  Designation: B.D.2, Percentage: 7.02%
  Designation: B.D.4.NmC3, Percentage: 7.02%
  Designation: B.D.4, Percentage: 5.26%
  Designation: B.D.E.2, Percentage: 1.75%

Country:  Greece (Total observed designations in this group: 10)
  Designation: B.D.2.NmC3, Percentage: 100.00%

Country:  Guatemala (Total observed designations in this group: 10)
  Designation: B.D.4.NmC1, Percentage: 30.00%
  Designation: B.D.4.NmC2, Percentage: 20.00%
  Designation: B.D.4.NmC4, Percentage: 20.00%
  Designation: B.D.1, Percentage: 10.00%
  Designation: B.D.1.1, Percentage: 10.00%
  Designation: B.D.4, Percentage: 10.00%

Country:  Hong Kong (Total observed designations in this group: 1)
  Designation: B.D.4.NmC1, Percentage: 100.00%

Country:  Hungary (Total observed designations in this group: 36)
  Designation: B.D.4.1.1.NmC1, Percentage: 30.56%
  Designation: B.D.E.3.NmC1, Percentage: 30.56%
  Designation: B.D.4.1.1.NmC3, Percentage: 13.89%
  Designation: B.D.E.3.NmC2, Percentage: 13.89%
  Designation: B.D.2, Percentage: 2.78%
  Designation: B.D.4.1.1.NmC2, Percentage: 2.78%
  Designation: B.D.4.1.3.NmC1, Percentage: 2.78%
  Designation: B.D.E.3.NmC3, Percentage: 2.78%

Country:  India (Total observed designations in this group: 158)
  Designation: B.D.4.NmC4, Percentage: 18.35%
  Designation: B.D.3.NmC1, Percentage: 14.56%
  Designation: B.D.E.2.NmC1, Percentage: 14.56%
  Designation: B.D.4.1, Percentage: 12.03%
  Designation: B.D.4, Percentage: 9.49%
  Designation: B.D.4.NmC1, Percentage: 4.43%
  Designation: B.D.2, Percentage: 3.80%
  Designation: B.D.1.NmC1, Percentage: 3.16%
  Designation: B.D.2.NmC1, Percentage: 3.16%
  Designation: B.D.4.NmC2, Percentage: 3.16%
  Designation: B.D.NmC1, Percentage: 3.16%
  Designation: B.D.1, Percentage: 1.90%
